logtime,scenario_time,type,module,address,value
128040.254973,0,version,,,1.4.1
128040.256123,0,scenario_path,,,includes\scenarios\study\full_P09.txt
128040.257383,0,seed_value,communications,,
128040.257405,0,seed_output,communications,,SBN790
128040.257477,0,seed_value,communications,,
128040.257488,0,seed_output,communications,,PIV852
128040.257548,0,seed_value,communications,,
128040.257557,0,seed_output,communications,,DTW834
128040.257615,0,seed_value,communications,,
128040.257625,0,seed_output,communications,,LPP463
128040.257674,0,seed_value,communications,,
128040.257683,0,seed_output,communications,,QNZ454
128040.257732,0,seed_value,communications,,
128040.257741,0,seed_output,communications,,FDV753
128040.257796,0,seed_value,communications,,
128040.257804,0,seed_output,communications,,XVZ241
128040.257857,0,seed_value,communications,,
128040.257865,0,seed_output,communications,,EHA972
128040.257888,0,seed_value,communications,,
128040.257895,0,seed_output,communications,,114.57447
128040.257916,0,seed_value,communications,,
128040.257922,0,seed_output,communications,,121.427213
128040.257939,0,seed_value,communications,,
128040.257945,0,seed_output,communications,,124.570675
128040.25796,0,seed_value,communications,,
128040.257966,0,seed_output,communications,,121.119007
128091.738808,0,dialog,,,OpenMATB end
128091.751372,0.017885,event,instructions,filename,study/briefing_practice.txt
128094.65552,0.017885,dialog,,,Warning end
128094.659152,0.03412,aoi,instructions,background,"(0, 864, 1536, 0)"
128094.660266,0.03412,parameter,instructions,title,
128094.660322,0.03412,parameter,instructions,taskplacement,fullscreen
128094.660344,0.03412,parameter,instructions,taskupdatetime,15
128094.660368,0.03412,parameter,instructions,taskfeedback-overdue-active,0
128094.660389,0.03412,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
128094.660411,0.03412,parameter,instructions,taskfeedback-overdue-delayms,2000
128094.660428,0.03412,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
128094.660444,0.03412,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
128094.660461,0.03412,parameter,instructions,taskfeedback-overdue-_is_visible,0
128094.660477,0.03412,parameter,instructions,boldtitle,0
128094.660493,0.03412,parameter,instructions,filename,study/briefing_practice.txt
128094.660509,0.03412,parameter,instructions,pointsize,0
128094.660524,0.03412,parameter,instructions,maxdurationsec,0
128094.66054,0.03412,parameter,instructions,response-text,Press SPACE to continue
128094.660556,0.03412,parameter,instructions,response-key,SPACE
128094.660571,0.03412,parameter,instructions,allowkeypress,1
128094.665097,0.03412,state,instructions,"background, visibility",1
128094.66515,0.03412,event,instructions,self,start
128094.67158,0.049821,state,instructions,"background, visibility",0
128094.679192,0.049821,aoi,instructions,title,"(0, 864, 1536, 0)"
128094.684076,0.049821,aoi,instructions,press_space,"(0, 864, 1536, 0)"
128094.712593,0.049821,aoi,instructions,instructions,"(0, 864, 1536, 0)"
128094.712721,0.049821,state,instructions,"background, visibility",1
128098.872382,0.049821,input,keyboard,SPACE,press
128099.122697,0.049821,input,keyboard,SPACE,release
128099.123184,0.049821,state,instructions,"background, visibility",0
128099.138409,0.065044,event,sysmon,automaticsolver,0
128099.155235,0.081597,aoi,sysmon,foreground,"(0, 820.8, 537, 432.0)"
128099.155315,0.081597,aoi,sysmon,overdue,"(0, 820.8, 537, 432.0)"
128099.163424,0.081597,aoi,sysmon,task_title,"(0, 864.0, 537, 820.8)"
128099.16359,0.081597,aoi,sysmon,automode,"(228.225, 474.12, 308.775, 452.52)"
128099.16494,0.081597,aoi,sysmon,scale1,"(40.275, 684.72, 93.975, 490.32)"
128099.165979,0.081597,aoi,sysmon,scale2,"(174.525, 684.72, 228.22500000000002, 490.32)"
